#,first_layer,second_layer,batch,mape
369,2,18,20000,24.0125727265
370,2,19,32,14.0086084982
371,2,19,100,14.293306671
372,2,19,200,13.1164194825
373,2,19,300,14.6004212733
374,2,19,500,34.941391833
375,2,19,1000,66.7857401225
376,2,19,2000,53.4292545481
377,2,19,5000,49.9005144062
378,2,19,10000,34.9781723272
379,2,19,20000,21.0479291975
380,3,1,32,17.6980820542
381,3,1,100,16.2105023685
382,3,1,200,17.9815375463
383,3,1,300,17.5805407616
384,3,1,500,17.7332434797
385,3,1,1000,16.6653799921
386,3,1,2000,16.8602935161
387,3,1,5000,18.7986186092
388,3,1,10000,19.355525752
389,3,1,20000,21.5346139974
390,3,2,32,14.8266799382
391,3,2,100,15.055055534
392,3,2,200,15.1981550465
393,3,2,300,15.3399108442
394,3,2,500,15.5177034536
395,3,2,1000,15.5994486533
396,3,2,2000,17.7821772828
397,3,2,5000,16.4985597105
398,3,2,10000,24.0095485332
399,3,2,20000,17.375327937
400,3,3,32,14.6432792228
401,3,3,100,14.9186357622
402,3,3,200,15.1243114182
403,3,3,300,15.1559729515
404,3,3,500,16.6499885013
405,3,3,1000,15.7481163646
406,3,3,2000,16.0655845411
407,3,3,5000,21.0846227227
408,3,3,10000,17.2614070631
409,3,3,20000,16.6769702629
410,3,4,32,14.436830774
411,3,4,100,14.9246941863
412,3,4,200,14.9273698394
413,3,4,300,15.0435283736
414,3,4,500,15.109188511
415,3,4,1000,15.6289302637
416,3,4,2000,15.903724673
417,3,4,5000,17.1895501471
418,3,4,10000,19.0787667134
419,3,4,20000,19.6030216649
420,3,5,32,15.8320300228
421,3,5,100,14.4036355761
422,3,5,200,14.7871207462
423,3,5,300,15.0297416468
424,3,5,500,14.9640087989
425,3,5,1000,16.961572811
426,3,5,2000,16.0730801032
427,3,5,5000,26.5716056699
428,3,5,10000,19.6562571258
429,3,5,20000,20.7023987034
430,3,6,32,14.2657258818
431,3,6,100,14.5077449346
432,3,6,200,14.5477800622
433,3,6,300,14.8537213403
434,3,6,500,14.8723750679
435,3,6,1000,15.4690802802
436,3,6,2000,15.4301816251
437,3,6,5000,28.5791132538
438,3,6,10000,22.2140405103
439,3,6,20000,21.3475560547
440,3,7,32,14.1758919115
441,3,7,100,14.6289399563
442,3,7,200,14.7497882578
443,3,7,300,14.6926075826
444,3,7,500,14.9975443134
445,3,7,1000,15.3849645931
446,3,7,2000,35.0370520874
447,3,7,5000,32.3427647786
448,3,7,10000,38.7968735327
449,3,7,20000,20.7210338588
450,3,8,32,13.9543919909
451,3,8,100,14.3777276444
452,3,8,200,14.6238625811
453,3,8,300,14.7290764259
454,3,8,500,14.7909574819
455,3,8,1000,15.289315989
456,3,8,2000,39.8436594254
457,3,8,5000,37.1162144956
458,3,8,10000,26.2446704287
459,3,8,20000,34.1341212291
460,3,9,32,14.1007307501
461,3,9,100,14.199948206
462,3,9,200,14.478051384
463,3,9,300,14.5096336863
464,3,9,500,22.407198528
465,3,9,1000,22.5397170181
466,3,9,2000,38.9967123562
467,3,9,5000,43.9742365892
468,3,9,10000,37.5921421697
469,3,9,20000,37.1371932431
470,3,10,32,13.9395722501
471,3,10,100,14.582258974
472,3,10,200,14.5517982968
473,3,10,300,14.6024834818
474,3,10,500,14.9455094142
475,3,10,1000,27.2420667002
476,3,10,2000,45.5105869664
477,3,10,5000,37.6181952553
478,3,10,10000,41.1378558122
479,3,10,20000,37.0401080781
480,3,11,32,13.9174073108
481,3,11,100,14.5235169806
482,3,11,200,14.4390870766
483,3,11,300,14.4784536062
484,3,11,500,14.7741577203
485,3,11,1000,33.6150704838
486,3,11,2000,53.2204372248
487,3,11,5000,48.7348832876
488,3,11,10000,42.6492142852
489,3,11,20000,37.0838176797
490,3,12,32,13.7507763991
491,3,12,100,14.040713087
492,3,12,200,14.39334155
493,3,12,300,14.4747911754
494,3,12,500,39.2286386216
495,3,12,1000,38.6002574422
496,3,12,2000,48.1493438073
497,3,12,5000,49.3174243257
498,3,12,10000,44.4121627091
499,3,12,20000,36.7470630104
500,3,13,32,13.8091857758
501,3,13,100,14.4153173151
502,3,13,200,14.3619556194
503,3,13,300,14.7120380763
504,3,13,500,41.332703663
505,3,13,1000,40.4052434442
506,3,13,2000,51.5055392001
507,3,13,5000,53.2222025394
508,3,13,10000,44.5251348353
509,3,13,20000,37.4096253579
510,3,14,32,13.800008539
511,3,14,100,14.2835447443
512,3,14,200,14.2042100184
513,3,14,300,14.4115545775
514,3,14,500,42.6443251676
515,3,14,1000,51.9935685578
516,3,14,2000,55.1215677057
517,3,14,5000,50.0025021623
518,3,14,10000,51.1828352845
519,3,14,20000,37.5539505876
520,3,15,32,13.6835337866
521,3,15,100,13.9083729061
522,3,15,200,14.2742599314
523,3,15,300,14.3421793525
524,3,15,500,42.9033326156
525,3,15,1000,59.4218759531
526,3,15,2000,56.6649903254
527,3,15,5000,48.9752032517
528,3,15,10000,44.9337852238
529,3,15,20000,37.7591382964
530,3,16,32,13.8793700503
531,3,16,100,13.9753466741
532,3,16,200,14.4182746808
533,3,16,300,14.4760247659
534,3,16,500,15.1011893592
535,3,16,1000,54.4349561382
536,3,16,2000,56.1350397423
537,3,16,5000,46.1302083169
538,3,16,10000,48.8943555548
539,3,16,20000,37.3921683185
540,3,17,32,13.7909021132
541,3,17,100,14.0128969663
542,3,17,200,14.0726359767
543,3,17,300,22.2199071822
544,3,17,500,22.4652827378
545,3,17,1000,57.568636614
546,3,17,2000,56.731893499
547,3,17,5000,50.2941929784
548,3,17,10000,51.3610612031
549,3,17,20000,37.4339596081
550,3,18,32,13.8602446312
551,3,18,100,14.0529092894
552,3,18,200,14.2462412489
553,3,18,300,25.0768452906
554,3,18,500,27.5435351591
555,3,18,1000,62.0534799367
556,3,18,2000,55.5834306191
557,3,18,5000,55.2149081741
558,3,18,10000,49.1962010857
559,3,18,20000,37.250456153
560,3,19,32,13.7591534092
561,3,19,100,13.9719719625
562,3,19,200,14.1246583871
563,3,19,300,34.1306869383
564,3,19,500,35.4379493686
565,3,19,1000,66.3405477829
566,3,19,2000,65.9571088161
567,3,19,5000,54.4976597612
568,3,19,10000,41.7936683307
569,3,19,20000,37.21119538
570,4,1,32,17.7070027647
